Area,Category,Item,Description,Date,Orders,Type of Order
Mystic Falls,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2023-08-04,108,Online
Elysium District,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2023-06-10,120,Online
Neo Tokyo,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2023-03-03,77,Online
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2023-10-04,117,Dining
Neo Tokyo,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2022-04-14,116,Takeaway
Elysium District,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-07-21,15,Dining
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-02-16,149,Online
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-05-01,53,Online
Elysium District,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2023-11-02,162,Takeaway
Mystic Falls,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-04-16,183,Takeaway
Neo Tokyo,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-07-21,49,Dining
Cyber City,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-01-27,79,Online
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-01-10,159,Dining
Mystic Falls,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-10-09,32,Dining
Elysium District,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2023-07-06,140,Dining
Cyber City,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2023-05-14,1,Dining
Neo Tokyo,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2023-01-08,40,Online
Mystic Falls,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2022-11-16,69,Dining
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-04-15,195,Online
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-08-01,130,Online
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-07-06,175,Takeaway
Elysium District,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-09-04,89,Takeaway
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-03-19,172,Takeaway
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-04-09,168,Dining
Elysium District,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-10-21,11,Takeaway
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-03-01,181,Takeaway
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2021-11-18,134,Takeaway
Cyber City,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2021-11-09,162,Dining
Elysium District,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2022-01-22,4,Takeaway
Elysium District,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2023-02-27,49,Takeaway
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-09-01,131,Takeaway
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-08-05,185,Online
Cyber City,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2022-01-09,192,Takeaway
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2021-11-03,114,Dining
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-09-28,127,Takeaway
Mystic Falls,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2023-03-31,140,Takeaway
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-01-10,39,Dining
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-06-11,199,Dining
Neo Tokyo,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2022-07-29,137,Online
Neo Tokyo,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2023-02-15,200,Takeaway
Arcadia Bay,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-12-25,143,Online
Neo Tokyo,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-05-10,176,Takeaway
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-01-19,99,Online
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-04-30,108,Takeaway
Arcadia Bay,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2021-11-11,40,Dining
Arcadia Bay,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-06-01,20,Takeaway
Mystic Falls,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-10-20,99,Online
Mystic Falls,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2023-10-11,98,Online
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2021-11-25,122,Takeaway
Mystic Falls,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2022-06-21,188,Online
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-06-26,148,Online
Cyber City,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2023-07-04,63,Online
Mystic Falls,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2022-12-12,153,Dining
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-09-27,66,Dining
Elysium District,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2022-06-16,90,Dining
Elysium District,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,2023-10-02,187,Online
Arcadia Bay,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-09-02,44,Online
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2021-12-13,60,Takeaway
Neo Tokyo,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2023-02-21,103,Dining
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-04-24,43,Dining
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-02-19,117,Takeaway
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2021-12-05,165,Online
Arcadia Bay,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2022-09-09,154,Dining
Elysium District,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2023-04-24,49,Online
Cyber City,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2023-04-13,65,Dining
Neo Tokyo,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2023-08-14,44,Online
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-11-06,196,Takeaway
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-10-09,58,Dining
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-02-03,70,Online
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-02-12,157,Takeaway
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-03-14,12,Takeaway
Cyber City,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2023-08-01,48,Dining
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-11-06,9,Dining
Neo Tokyo,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-07-16,98,Online
Neo Tokyo,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2022-05-27,125,Dining
Neo Tokyo,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2023-07-15,190,Dining
Mystic Falls,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2022-11-29,173,Online
Cyber City,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2022-09-01,35,Online
Cyber City,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2022-01-22,61,Online
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2021-11-18,72,Takeaway
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-01-24,158,Online
Neo Tokyo,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,2022-10-02,13,Takeaway
Elysium District,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2022-07-27,60,Dining
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-08-27,167,Takeaway
Neo Tokyo,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2023-05-08,167,Dining
Cyber City,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2023-02-19,176,Dining
Neo Tokyo,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-12-10,4,Dining
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-03-21,61,Online
Mystic Falls,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2022-01-04,35,Takeaway
Cyber City,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2022-05-20,71,Online
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-12-02,37,Takeaway
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-01-31,88,Takeaway
Arcadia Bay,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-04-25,183,Dining
Mystic Falls,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2023-01-06,73,Online
Mystic Falls,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2023-03-23,74,Takeaway
Cyber City,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2023-05-20,114,Dining
Cyber City,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2023-02-21,183,Takeaway
Neo Tokyo,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2023-06-13,179,Online
Neo Tokyo,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2022-04-03,165,Dining
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-01-18,180,Online
Arcadia Bay,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-10-21,10,Online
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-06-21,167,Takeaway
Arcadia Bay,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2023-09-20,158,Takeaway
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2021-12-09,82,Online
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-12-28,166,Takeaway
Neo Tokyo,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-04-01,113,Dining
Mystic Falls,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2023-08-31,57,Takeaway
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-08-22,133,Dining
Elysium District,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2022-04-04,53,Online
Mystic Falls,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-03-31,98,Takeaway
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-10-12,53,Takeaway
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-01-08,145,Dining
Elysium District,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2022-03-14,17,Online
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-06-14,135,Online
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-07-16,138,Online
Elysium District,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2022-05-13,48,Takeaway
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-02-03,63,Takeaway
Neo Tokyo,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-08-02,4,Online
Mystic Falls,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2022-07-16,119,Takeaway
Neo Tokyo,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2022-03-10,52,Takeaway
Elysium District,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,2023-10-06,115,Takeaway
Elysium District,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2022-06-10,70,Online
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-06-13,51,Online
Neo Tokyo,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-01-07,44,Dining
Cyber City,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2023-10-12,189,Dining
Elysium District,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2023-01-20,134,Dining
Neo Tokyo,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-01-28,35,Online
Mystic Falls,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-12-29,105,Takeaway
Neo Tokyo,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2023-04-18,100,Online
Neo Tokyo,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2022-10-04,117,Online
Neo Tokyo,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-09-08,45,Dining
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2021-11-20,28,Dining
Arcadia Bay,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2023-03-15,58,Takeaway
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2023-01-30,94,Online
Cyber City,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2023-10-29,161,Online
Elysium District,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-01-07,64,Online
Neo Tokyo,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2022-06-12,158,Dining
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-08-03,154,Takeaway
Elysium District,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2022-12-13,117,Dining
Arcadia Bay,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-04-05,123,Dining
Neo Tokyo,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-12-19,183,Online
Elysium District,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2023-07-18,56,Takeaway
Cyber City,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2022-02-04,85,Dining
Elysium District,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2023-09-04,167,Dining
Neo Tokyo,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-07-16,123,Dining
Mystic Falls,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-01-22,34,Online
Neo Tokyo,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,2023-06-24,164,Takeaway
Neo Tokyo,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2023-09-03,99,Dining
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-01-31,126,Dining
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-06-05,147,Takeaway
Mystic Falls,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2023-07-24,77,Online
Neo Tokyo,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-06-15,148,Online
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-03-17,16,Dining
Mystic Falls,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2022-04-16,77,Dining
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-09-06,102,Dining
Neo Tokyo,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-08-09,128,Takeaway
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-03-29,101,Takeaway
Mystic Falls,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2022-01-16,188,Dining
Neo Tokyo,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2022-09-23,16,Online
Neo Tokyo,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-05-01,187,Online
Elysium District,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,2022-08-19,37,Takeaway
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-02-12,71,Dining
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2023-04-08,175,Online
Neo Tokyo,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2023-01-07,97,Dining
Arcadia Bay,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-01-24,180,Dining
Neo Tokyo,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2023-01-28,97,Online
Mystic Falls,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,2023-02-26,41,Online
Elysium District,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2023-04-09,178,Dining
Mystic Falls,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2022-04-03,23,Online
Arcadia Bay,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2022-03-30,77,Dining
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-08-06,82,Online
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-09-27,200,Takeaway
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-07-01,80,Dining
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-03-22,40,Online
Mystic Falls,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2023-09-01,138,Online
Mystic Falls,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,2022-04-28,81,Dining
Mystic Falls,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2023-04-09,26,Online
Mystic Falls,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2022-01-10,41,Takeaway
Cyber City,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2022-07-15,6,Takeaway
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-10-13,87,Dining
Arcadia Bay,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2022-03-17,148,Takeaway
Cyber City,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-09-28,58,Online
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-01-17,40,Dining
Elysium District,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2022-08-26,48,Online
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-10-25,164,Takeaway
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-01-14,134,Dining
Mystic Falls,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-09-13,175,Takeaway
Neo Tokyo,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-10-03,177,Dining
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2021-12-03,92,Online
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-03-07,37,Dining
Mystic Falls,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2023-04-07,113,Takeaway
Neo Tokyo,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2023-07-16,104,Takeaway
Cyber City,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2023-10-28,130,Online
Neo Tokyo,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-06-18,31,Dining
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-08-09,151,Online
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-08-14,150,Takeaway
Arcadia Bay,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2022-08-23,111,Takeaway
Elysium District,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2023-05-03,38,Dining
Neo Tokyo,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2023-01-15,51,Dining
Neo Tokyo,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-12-19,133,Online
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-07-06,180,Online
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-03-17,129,Dining
Mystic Falls,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2023-07-14,162,Dining
Neo Tokyo,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2023-06-30,123,Dining
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-05-05,32,Dining
Arcadia Bay,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-02-12,178,Online
Arcadia Bay,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2023-02-11,85,Online
Neo Tokyo,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-07-11,173,Dining
Cyber City,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2022-04-07,8,Takeaway
Cyber City,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2023-01-06,164,Online
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-10-22,123,Takeaway
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-03-15,90,Online
Cyber City,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2023-04-19,25,Dining
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-01-08,151,Dining
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-09-15,165,Dining
Arcadia Bay,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-07-16,105,Online
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-10-24,59,Dining
Arcadia Bay,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2023-09-11,112,Takeaway
Mystic Falls,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2022-09-02,143,Takeaway
Elysium District,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2022-09-15,55,Dining
Arcadia Bay,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-07-29,20,Online
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-04-29,15,Online
Mystic Falls,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2022-10-06,111,Dining
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-02-06,185,Takeaway
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-05-05,6,Takeaway
Neo Tokyo,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2021-12-24,134,Takeaway
Arcadia Bay,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-11-08,159,Takeaway
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2023-07-01,190,Online
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-09-12,96,Online
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2023-09-27,49,Online
Elysium District,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-10-04,21,Online
Arcadia Bay,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-10-27,9,Dining
Elysium District,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-05-01,195,Takeaway
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2023-05-25,163,Dining
Elysium District,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2023-06-19,195,Takeaway
Cyber City,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2023-08-06,65,Dining
Mystic Falls,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2022-04-09,67,Dining
Arcadia Bay,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,2022-03-20,135,Online
Neo Tokyo,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2022-07-08,48,Dining
Neo Tokyo,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-10-28,148,Takeaway
Neo Tokyo,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2022-03-19,142,Takeaway
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2023-05-11,122,Online
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-10-16,59,Dining
